year,building,kwh,gas_cuft,elec_co2_mt,gas_co2_mt,total_co2_mt
2012,Couper Hall,10943.0,0.0,2.2,0.0,2.2
2013,Couper Hall,13592.0,0.0,2.73,0.0,2.73
2014,Couper Hall,9245.0,0.0,1.86,0.0,1.86
2015,Couper Hall,11582.0,0.0,2.33,0.0,2.33
2016,Couper Hall,10994.0,0.0,2.21,0.0,2.21
2017,Couper Hall,11155.0,0.0,2.24,0.0,2.24
2018,Couper Hall,12759.0,0.0,2.56,0.0,2.56
2019,Couper Hall,13419.0,0.0,2.7,0.0,2.7
2020,Couper Hall,11732.0,0.0,2.36,0.0,2.36
2021,Couper Hall,25721.0,0.0,5.17,0.0,5.17
2022,Couper Hall,14622.0,0.0,2.94,0.0,2.94
2023,Couper Hall,17060.0,0.0,3.43,0.0,3.43
2024,Couper Hall,16603.0,0.0,3.34,0.0,3.34
2025,Couper Hall,16969.0,0.0,3.41,0.0,3.41
2003,DKE,0.0,0.0,0.0,0.0,0.0
2004,DKE,0.0,0.0,0.0,0.0,0.0
2005,DKE,0.0,0.0,0.0,0.0,0.0
2006,DKE,0.0,0.0,0.0,0.0,0.0
2007,DKE,0.0,0.0,0.0,0.0,0.0
2008,DKE,0.0,0.0,0.0,0.0,0.0
2009,DKE,0.0,0.0,0.0,0.0,0.0
2010,DKE,0.0,0.0,0.0,0.0,0.0
2011,DKE,0.0,0.0,0.0,0.0,0.0
2012,DKE,0.0,0.0,0.0,0.0,0.0
2013,DKE,0.0,0.0,0.0,0.0,0.0
2014,DKE,0.0,0.0,0.0,0.0,0.0
2015,DKE,0.0,0.0,0.0,0.0,0.0
2016,DKE,0.0,0.0,0.0,0.0,0.0
2017,DKE,0.0,0.0,0.0,0.0,0.0
2018,DKE,0.0,0.0,0.0,0.0,0.0
2019,DKE,0.0,0.0,0.0,0.0,0.0
2003,Dunham,0.0,0.0,0.0,0.0,0.0
2004,Dunham,342545.7,0.0,68.85,0.0,68.85
2005,Dunham,473933.3,0.0,95.26,0.0,95.26
2006,Dunham,0.0,0.0,0.0,0.0,0.0
2007,Dunham,328008.5,0.0,65.93,0.0,65.93
2008,Dunham,352442.0,519765.0,70.84,27.55,98.39
2009,Dunham,310091.6,390530.0,62.33,20.7,83.03
2010,Dunham,315629.2,1632247.0,63.44,86.51,149.95
2011,Dunham,303453.7,1025479.0,60.99,54.35,115.34
2012,Dunham,287719.1,1791701.0,57.83,94.96,152.79
2013,Dunham,270548.8,420400.0,54.38,22.28,76.66
2014,Dunham,258083.0,305668.0,51.87,16.2,68.08
2015,Dunham,510071.5,176663.0,102.52,9.36,111.89
2016,Dunham,626168.8,9711049.0,125.86,514.69,640.55
2017,Dunham,280041.1,2867601.0,56.29,151.98,208.27
2018,Dunham,321961.1,2718400.0,64.71,144.08,208.79
2019,Dunham,988993.9,3816990.0,198.79,202.3,401.09
2020,Dunham,233328.8,2124310.0,46.9,112.59,159.49
2021,Dunham,341232.1,0.0,68.59,0.0,68.59
2022,Dunham,560542.0,3297010.0,112.67,174.74,287.41
2023,Dunham,304982.8,1809390.0,61.3,95.9,157.2
2024,Dunham,270639.2,111450.0,54.4,5.91,60.31
2025,Dunham,271652.8,283071.0,54.6,15.0,69.6
2007,E.Root (Old Admissions),75551.0,0.0,15.19,0.0,15.19
2008,E.Root (Old Admissions),77865.0,0.0,15.65,0.0,15.65
2009,E.Root (Old Admissions),83285.0,0.0,16.74,0.0,16.74
2010,E.Root (Old Admissions),79388.0,0.0,15.96,0.0,15.96
2011,E.Root (Old Admissions),77187.0,0.0,15.51,0.0,15.51
2012,E.Root (Old Admissions),65637.0,0.0,13.19,0.0,13.19
2013,E.Root (Old Admissions),63302.0,0.0,12.72,0.0,12.72
2014,E.Root (Old Admissions),55942.0,0.0,11.24,0.0,11.24
2015,E.Root (Old Admissions),57378.0,0.0,11.53,0.0,11.53
2016,E.Root (Old Admissions),56632.0,0.0,11.38,0.0,11.38
2017,E.Root (Old Admissions),51037.0,0.0,10.26,0.0,10.26
2018,E.Root (Old Admissions),60990.0,0.0,12.26,0.0,12.26
2019,E.Root (Old Admissions),67033.0,0.0,13.47,0.0,13.47
2020,E.Root (Old Admissions),86455.0,0.0,17.38,0.0,17.38
2021,E.Root (Old Admissions),59724.0,0.0,12.0,0.0,12.0
2022,E.Root (Old Admissions),62221.0,0.0,12.51,0.0,12.51
2023,E.Root (Old Admissions),52845.0,0.0,10.62,0.0,10.62
2024,E.Root (Old Admissions),47655.0,0.0,9.58,0.0,9.58
2025,E.Root (Old Admissions),48833.0,0.0,9.82,0.0,9.82
2003,ELS,0.0,0.0,0.0,0.0,0.0
2004,ELS,0.0,0.0,0.0,0.0,0.0
2005,ELS,0.0,0.0,0.0,0.0,0.0
2006,ELS,0.0,0.0,0.0,0.0,0.0
2007,ELS,0.0,0.0,0.0,0.0,0.0
2008,ELS,0.0,0.0,0.0,0.0,0.0
2009,ELS,0.0,0.0,0.0,0.0,0.0
2003,Eells,0.0,0.0,0.0,0.0,0.0
2004,Eells,207339.0,0.0,41.68,0.0,41.68
2005,Eells,196903.0,0.0,39.58,0.0,39.58
2006,Eells,0.0,0.0,0.0,0.0,0.0
2007,Eells,181781.0,0.0,36.54,0.0,36.54
2008,Eells,170950.0,0.0,34.36,0.0,34.36
2009,Eells,158243.0,0.0,31.81,0.0,31.81
2010,Eells,145960.0,0.0,29.34,0.0,29.34
2011,Eells,154981.0,0.0,31.15,0.0,31.15
2012,Eells,160584.0,0.0,32.28,0.0,32.28
2013,Eells,153952.0,0.0,30.94,0.0,30.94
2014,Eells,120284.0,0.0,24.18,0.0,24.18
2015,Eells,0.0,0.0,0.0,0.0,0.0
2016,Eells,141793.0,0.0,28.5,0.0,28.5
2017,Eells,138333.0,0.0,27.8,0.0,27.8
2018,Eells,134105.0,0.0,26.96,0.0,26.96
2019,Eells,133092.0,0.0,26.75,0.0,26.75
2020,Eells,120250.0,0.0,24.17,0.0,24.17
2021,Eells,146988.0,0.0,29.54,0.0,29.54
2022,Eells,155963.0,0.0,31.35,0.0,31.35
2023,Eells,147268.0,0.0,29.6,0.0,29.6
2024,Eells,144219.0,0.0,28.99,0.0,28.99
2025,Eells,134462.0,0.0,27.03,0.0,27.03
2003,Farmhouse,0.0,0.0,0.0,0.0,0.0
2004,Farmhouse,0.0,0.0,0.0,0.0,0.0
2005,Farmhouse,0.0,0.0,0.0,0.0,0.0
2006,Farmhouse,0.0,0.0,0.0,0.0,0.0
2007,Farmhouse,0.0,0.0,0.0,0.0,0.0
2008,Farmhouse,0.0,0.0,0.0,0.0,0.0
2009,Farmhouse,0.0,0.0,0.0,0.0,0.0
2010,Farmhouse,0.0,0.0,0.0,0.0,0.0
2011,Farmhouse,0.0,0.0,0.0,0.0,0.0
2012,Farmhouse,0.0,0.0,0.0,0.0,0.0
2013,Farmhouse,0.0,0.0,0.0,0.0,0.0
2014,Farmhouse,0.0,0.0,0.0,0.0,0.0
2015,Farmhouse,0.0,0.0,0.0,0.0,0.0
2016,Farmhouse,0.0,0.0,0.0,0.0,0.0
2017,Farmhouse,0.0,0.0,0.0,0.0,0.0
2018,Farmhouse,0.0,0.0,0.0,0.0,0.0
2019,Farmhouse,0.0,0.0,0.0,0.0,0.0
2003,Ferguson,0.0,0.0,0.0,0.0,0.0
2004,Ferguson,159019.3,0.0,31.96,0.0,31.96
2005,Ferguson,141379.0,0.0,28.42,0.0,28.42
2006,Ferguson,0.0,0.0,0.0,0.0,0.0
2007,Ferguson,141844.9,0.0,28.51,0.0,28.51
2008,Ferguson,148234.3,0.0,29.8,0.0,29.8
2009,Ferguson,184558.9,0.0,37.1,0.0,37.1
2010,Ferguson,135967.2,0.0,27.33,0.0,27.33
2011,Ferguson,194922.7,0.0,39.18,0.0,39.18
2012,Ferguson,132462.8,0.0,26.63,0.0,26.63
2013,Ferguson,278787.1,0.0,56.04,0.0,56.04
2014,Ferguson,130783.7,0.0,26.29,0.0,26.29
2015,Ferguson,120624.7,0.0,24.25,0.0,24.25
2016,Ferguson,115672.7,0.0,23.25,0.0,23.25
2017,Ferguson,115327.3,0.0,23.18,0.0,23.18
2018,Ferguson,124081.7,0.0,24.94,0.0,24.94
2019,Ferguson,118882.1,0.0,23.9,0.0,23.9
2020,Ferguson,95036.2,0.0,19.1,0.0,19.1
2021,Ferguson,227689.8,0.0,45.77,0.0,45.77
2022,Ferguson,126587.0,0.0,25.44,0.0,25.44
2023,Ferguson,119941.8,0.0,24.11,0.0,24.11
2024,Ferguson,124720.0,0.0,25.07,0.0,25.07
2025,Ferguson,131713.2,0.0,26.47,0.0,26.47
2003,Field House,0.0,0.0,0.0,0.0,0.0
2004,Field House,660480.0,0.0,132.76,0.0,132.76
2005,Field House,662360.0,0.0,133.13,0.0,133.13
2006,Field House,0.0,0.0,0.0,0.0,0.0
2007,Field House,844800.0,0.0,169.8,0.0,169.8
2008,Field House,880000.0,0.0,176.88,0.0,176.88
2009,Field House,739920.0,0.0,148.72,0.0,148.72
2010,Field House,637440.0,0.0,128.13,0.0,128.13
2011,Field House,612480.0,0.0,123.11,0.0,123.11
2012,Field House,650240.0,0.0,130.7,0.0,130.7
2013,Field House,691200.0,0.0,138.93,0.0,138.93
2014,Field House,680320.0,0.0,136.74,0.0,136.74
2015,Field House,662400.0,0.0,133.14,0.0,133.14
2016,Field House,697600.0,0.0,140.22,0.0,140.22
2017,Field House,712320.0,0.0,143.18,0.0,143.18
2018,Field House,651520.0,0.0,130.96,0.0,130.96
2019,Field House,695680.0,0.0,139.83,0.0,139.83
2020,Field House,594560.0,0.0,119.51,0.0,119.51
2021,Field House,722560.0,0.0,145.23,0.0,145.23
2022,Field House,704640.0,0.0,141.63,0.0,141.63
2023,Field House,663040.0,0.0,133.27,0.0,133.27
2024,Field House,706560.0,0.0,142.02,0.0,142.02
2025,Field House,679680.0,0.0,136.62,0.0,136.62
2003,Gym,0.0,0.0,0.0,0.0,0.0
2004,Gym,1345280.0,0.0,270.4,0.0,270.4
2005,Gym,1281920.0,0.0,257.67,0.0,257.67
2006,Gym,1157120.0,0.0,232.58,0.0,232.58
2007,Gym,1114240.0,0.0,223.96,0.0,223.96
2008,Gym,1084160.0,189416.0,217.92,10.04,227.96
2009,Gym,1018240.0,18110350.0,204.67,959.85,1164.51
2010,Gym,922880.0,14776870.0,185.5,783.17,968.67
2011,Gym,937598.0,15955790.0,188.46,845.66,1034.11
2012,Gym,1044480.0,14390166.0,209.94,762.68,972.62
2013,Gym,995840.0,15946070.0,200.16,845.14,1045.31
2014,Gym,1139840.0,14745030.0,229.11,781.49,1010.59
2015,Gym,1072640.0,14705340.0,215.6,779.38,994.98
2016,Gym,1010560.0,14968450.0,203.12,793.33,996.45
2017,Gym,974720.0,15623050.0,195.92,828.02,1023.94
2018,Gym,920320.0,16255070.0,184.98,861.52,1046.5
2019,Gym,925440.0,17342950.0,186.01,919.18,1105.19
2020,Gym,873600.0,14646920.0,175.59,776.29,951.88
2021,Gym,1407360.0,11976731.0,282.88,634.77,917.65
2022,Gym,1135360.0,1686678.0,228.21,89.39,317.6
2023,Gym,1441426.0,1555646.0,289.73,82.45,372.18
2024,Gym,1458488.0,1551279.0,293.16,82.22,375.37
2025,Gym,1439743.0,1647025.0,289.39,87.29,376.68
2003,Health Center,0.0,0.0,0.0,0.0,0.0
2004,Health Center,21355.0,0.0,4.29,0.0,4.29
2005,Health Center,23082.0,0.0,4.64,0.0,4.64
2006,Health Center,0.0,0.0,0.0,0.0,0.0
2007,Health Center,24944.0,0.0,5.01,0.0,5.01
2008,Health Center,26598.0,0.0,5.35,0.0,5.35
2009,Health Center,25240.0,0.0,5.07,0.0,5.07
2010,Health Center,23771.0,0.0,4.78,0.0,4.78
2011,Health Center,21311.0,0.0,4.28,0.0,4.28
2012,Health Center,26024.0,0.0,5.23,0.0,5.23
2013,Health Center,26863.0,0.0,5.4,0.0,5.4
2014,Health Center,24020.0,0.0,4.83,0.0,4.83
2015,Health Center,22347.0,0.0,4.49,0.0,4.49
2016,Health Center,21942.0,0.0,4.41,0.0,4.41
2017,Health Center,23590.0,0.0,4.74,0.0,4.74
2018,Health Center,24360.0,0.0,4.9,0.0,4.9
2019,Health Center,9934.0,0.0,2.0,0.0,2.0
2020,Health Center,9201.0,0.0,1.85,0.0,1.85
2021,Health Center,10215.0,0.0,2.05,0.0,2.05
2022,Health Center,14461.0,0.0,2.91,0.0,2.91
2023,Health Center,14367.0,0.0,2.89,0.0,2.89
2024,Health Center,16017.0,0.0,3.22,0.0,3.22
2025,Health Center,20658.0,0.0,4.15,0.0,4.15
2015,K T S A,827175.0,0.0,166.26,0.0,166.26
2016,K T S A,826350.0,0.0,166.1,0.0,166.1
2017,K T S A,842800.0,0.0,169.4,0.0,169.4
2018,K T S A,852624.0,0.0,171.38,0.0,171.38
2019,K T S A,855958.0,0.0,172.05,0.0,172.05
2020,K T S A,791902.0,0.0,159.17,0.0,159.17
2021,KTSA,830704.0,0.0,166.97,0.0,166.97
2022,KTSA,808967.0,0.0,162.6,0.0,162.6
2023,KTSA,802637.0,0.0,161.33,0.0,161.33
2024,KTSA,863339.0,0.0,173.53,0.0,173.53
2025,KTSA,903822.0,0.0,181.67,0.0,181.67
2003,Keehn Dorm,0.0,0.0,0.0,0.0,0.0
2004,Keehn Dorm,169920.0,0.0,34.15,0.0,34.15
2005,Keehn Dorm,157440.0,0.0,31.65,0.0,31.65
2006,Keehn Dorm,0.0,0.0,0.0,0.0,0.0
2007,Keehn Dorm,187200.0,0.0,37.63,0.0,37.63
2008,Keehn Dorm,161280.0,0.0,32.42,0.0,32.42
2009,Keehn Dorm,144000.0,0.0,28.94,0.0,28.94
2010,Keehn Dorm,139920.0,0.0,28.12,0.0,28.12
2011,Keehn Dorm,159120.0,0.0,31.98,0.0,31.98
2012,Keehn Dorm,167040.0,0.0,33.58,0.0,33.58
2013,Keehn Dorm,157680.0,0.0,31.69,0.0,31.69
2014,Keehn Dorm,0.0,0.0,0.0,0.0,0.0
2015,Keehn Dorm,0.0,0.0,0.0,0.0,0.0
2016,Keehn Dorm,74400.0,0.0,14.95,0.0,14.95
2017,Keehn Dorm,68640.0,0.0,13.8,0.0,13.8
2018,Keehn Dorm,70560.0,0.0,14.18,0.0,14.18
2019,Keehn Dorm,68480.0,0.0,13.76,0.0,13.76
2020,Keehn Dorm,63040.0,0.0,12.67,0.0,12.67
2021,Keehn Dorm,75040.0,0.0,15.08,0.0,15.08
2022,Keehn Dorm,72160.0,0.0,14.5,0.0,14.5
2023,Keehn Dorm,69760.0,0.0,14.02,0.0,14.02
2024,Keehn Dorm,67360.0,0.0,13.54,0.0,13.54
2025,Keehn Dorm,67840.0,0.0,13.64,0.0,13.64
2003,Kirkland Dorm,0.0,0.0,0.0,0.0,0.0
2004,Kirkland Dorm,139290.0,0.0,28.0,0.0,28.0
2005,Kirkland Dorm,131890.0,0.0,26.51,0.0,26.51
2006,Kirkland Dorm,0.0,0.0,0.0,0.0,0.0
2007,Kirkland Dorm,38460.0,0.0,7.73,0.0,7.73
2008,Kirkland Dorm,36260.0,0.0,7.29,0.0,7.29
2009,Kirkland Dorm,0.0,0.0,0.0,0.0,0.0
2010,Kirkland Dorm,110133.0,0.0,22.14,0.0,22.14
2011,Kirkland Dorm,102505.0,0.0,20.6,0.0,20.6
2012,Kirkland Dorm,101439.0,0.0,20.39,0.0,20.39
2013,Kirkland Dorm,177557.0,0.0,35.69,0.0,35.69
2014,Kirkland Dorm,100975.0,0.0,20.3,0.0,20.3
2015,Kirkland Dorm,101510.0,0.0,20.4,0.0,20.4
2016,Kirkland Dorm,106675.0,0.0,21.44,0.0,21.44
2017,Kirkland Dorm,107551.0,0.0,21.62,0.0,21.62
2018,Kirkland Dorm,104925.0,0.0,21.09,0.0,21.09
2019,Kirkland Dorm,108116.0,0.0,21.73,0.0,21.73
2020,Kirkland Dorm,89820.0,0.0,18.05,0.0,18.05
2021,Kirkland Dorm,107247.0,0.0,21.56,0.0,21.56
2022,Kirkland Dorm,107604.0,0.0,21.63,0.0,21.63
2023,Kirkland Dorm,106043.0,0.0,21.31,0.0,21.31
2024,Kirkland Dorm,107881.0,0.0,21.68,0.0,21.68
2025,Kirkland Dorm,110804.0,0.0,22.27,0.0,22.27
2003,Kirner Johnson,0.0,0.0,0.0,0.0,0.0
2004,Kirner Johnson,1303200.0,0.0,261.94,0.0,261.94
2005,Kirner Johnson,1262323.2,0.0,253.73,0.0,253.73
2006,Kirner Johnson,0.0,0.0,0.0,0.0,0.0
2007,Kirner Johnson,910696.8,0.0,183.05,0.0,183.05
2008,Kirner Johnson,0.0,0.0,0.0,0.0,0.0
2009,Kirner Johnson,0.0,0.0,0.0,0.0,0.0
2010,Kirner Johnson,1155783.0,0.0,232.31,0.0,232.31
2011,Kirner Johnson,1210293.0,0.0,243.27,0.0,243.27
2012,Kirner Johnson,1235043.0,0.0,248.24,0.0,248.24
2013,Kirner Johnson,1248394.0,0.0,250.93,0.0,250.93
2014,Kirner Johnson,1176625.0,0.0,236.5,0.0,236.5
2015,Kirner Johnson,1175522.0,0.0,236.28,0.0,236.28
2016,Kirner Johnson,1153838.0,0.0,231.92,0.0,231.92
2017,Kirner Johnson,1179014.0,0.0,236.98,0.0,236.98
2018,Kirner Johnson,1109908.866,0.0,223.09,0.0,223.09
2019,Kirner Johnson,1196200.0,0.0,240.44,0.0,240.44
2020,Kirner Johnson,1115397.0,0.0,224.19,0.0,224.19
2021,Kirner Johnson,1283724.0,0.0,258.03,0.0,258.03
2022,Kirner Johnson,1594427.0,0.0,320.48,0.0,320.48
2023,Kirner Johnson,1553493.0,0.0,312.25,0.0,312.25
2024,Kirner Johnson,1545374.0,0.0,310.62,0.0,310.62
2025,Kirner Johnson,1507576.0,0.0,303.02,0.0,303.02
2003,List,0.0,0.0,0.0,0.0,0.0
2004,List,1091760.0,0.0,219.44,0.0,219.44
2005,List,994560.0,0.0,199.91,0.0,199.91
2006,List,0.0,0.0,0.0,0.0,0.0
2007,List,927360.0,0.0,186.4,0.0,186.4
2008,List,1065600.0,0.0,214.19,0.0,214.19
2009,List,931440.0,0.0,187.22,0.0,187.22
2010,List,804960.0,0.0,161.8,0.0,161.8
2011,List,792190.0,0.0,159.23,0.0,159.23
2012,List,787920.0,0.0,158.37,0.0,158.37
2013,List,777560.0,0.0,156.29,0.0,156.29
2014,List,688080.0,0.0,138.3,0.0,138.3
2015,List,733440.0,0.0,147.42,0.0,147.42
2016,List,574800.0,0.0,115.53,0.0,115.53
2017,List,588000.0,0.0,118.19,0.0,118.19
2018,List,647520.0,0.0,130.15,0.0,130.15
2019,List,631440.0,0.0,126.92,0.0,126.92
2020,List,0.0,0.0,0.0,0.0,0.0
2021,List,0.0,0.0,0.0,0.0,0.0
2022,List,783051.0,0.0,157.39,0.0,157.39
2023,List,767791.0,0.0,154.33,0.0,154.33
2024,List,767608.0,0.0,154.29,0.0,154.29
2025,List,854644.0,0.0,171.78,0.0,171.78
2007,Little Pub,0.0,0.0,0.0,0.0,0.0
2008,Little Pub,75203.0,0.0,15.12,0.0,15.12
2009,Little Pub,65638.0,0.0,13.19,0.0,13.19
2010,Little Pub,60569.0,0.0,12.17,0.0,12.17
2011,Little Pub,62489.0,0.0,12.56,0.0,12.56
2012,Little Pub,70920.0,0.0,14.25,0.0,14.25
2013,Little Pub,70116.0,0.0,14.09,0.0,14.09
2014,Little Pub,63520.0,0.0,12.77,0.0,12.77
2015,Little Pub,67569.0,0.0,13.58,0.0,13.58
2016,Little Pub,72833.0,0.0,14.64,0.0,14.64
2017,Little Pub,65581.0,0.0,13.18,0.0,13.18
2018,Little Pub,63554.0,0.0,12.77,0.0,12.77
2019,Little Pub,59933.0,0.0,12.05,0.0,12.05
2020,Little Pub,47237.0,0.0,9.49,0.0,9.49
2021,Little Pub,54145.0,0.0,10.88,0.0,10.88
2022,Little Pub,58198.0,0.0,11.7,0.0,11.7
2023,Little Pub,55274.0,0.0,11.11,0.0,11.11
2024,Little Pub,60934.0,0.0,12.25,0.0,12.25
2025,Little Pub,56556.0,0.0,11.37,0.0,11.37
2003,Major,0.0,0.0,0.0,0.0,0.0
2004,Major,178320.0,0.0,35.84,0.0,35.84
2005,Major,189840.0,0.0,38.16,0.0,38.16
2006,Major,0.0,0.0,0.0,0.0,0.0
2007,Major,137376.0,0.0,27.61,0.0,27.61
2008,Major,223904.0,0.0,45.0,0.0,45.0
2009,Major,163584.0,0.0,32.88,0.0,32.88
2010,Major,130016.0,0.0,26.13,0.0,26.13
2011,Major,126400.0,0.0,25.41,0.0,25.41
2012,Major,133358.0,0.0,26.8,0.0,26.8
2013,Major,124624.0,0.0,25.05,0.0,25.05
2014,Major,100336.0,0.0,20.17,0.0,20.17
2015,Major,81760.0,0.0,16.43,0.0,16.43
2016,Major,79424.0,0.0,15.96,0.0,15.96
2017,Major,72624.0,0.0,14.6,0.0,14.6
2018,Major,125440.0,0.0,25.21,0.0,25.21
2019,Major,75200.0,0.0,15.12,0.0,15.12
2020,Major,0.0,0.0,0.0,0.0,0.0
2021,Major,73965.0,0.0,14.87,0.0,14.87
2022,Major,68380.0,0.0,13.74,0.0,13.74
2023,Major,70891.0,0.0,14.25,0.0,14.25
2024,Major,68855.0,0.0,13.84,0.0,13.84
2025,Major,70565.0,0.0,14.18,0.0,14.18
2003,McEwen D H,0.0,0.0,0.0,0.0,0.0
2004,McEwen D H,1033800.0,0.0,207.79,0.0,207.79
2005,McEwen D H,1073400.0,0.0,215.75,0.0,215.75
2006,McEwen D H,0.0,0.0,0.0,0.0,0.0
2007,McEwen D H,994200.0,0.0,199.83,0.0,199.83
2008,McEwen D H,971400.0,0.0,195.25,0.0,195.25
2009,McEwen D H,846600.0,0.0,170.17,0.0,170.17
2010,McEwen D H,736200.0,0.0,147.98,0.0,147.98
2011,McEwen D H,759000.0,0.0,152.56,0.0,152.56
2012,McEwen D H,783600.0,0.0,157.5,0.0,157.5
2013,McEwen D H,841200.0,0.0,169.08,0.0,169.08
2014,McEwen D H,897600.0,0.0,180.42,0.0,180.42
2015,McEwen D H,744600.0,0.0,149.66,0.0,149.66
2016,McEwen D H,688200.0,0.0,138.33,0.0,138.33
2017,McEwen D H,679200.0,0.0,136.52,0.0,136.52
2018,McEwen D H,772800.0,0.0,155.33,0.0,155.33
2019,McEwen D H,690600.0,0.0,138.81,0.0,138.81
2020,McEwen D H,607200.0,0.0,122.05,0.0,122.05
2021,McEwen D H,790200.0,0.0,158.83,0.0,158.83
2022,McEwen D H,640800.0,0.0,128.8,0.0,128.8
2023,McEwen D H,636600.0,0.0,127.96,0.0,127.96
2024,McEwen D H,690000.0,0.0,138.69,0.0,138.69
2025,McEwen D H,724800.0,0.0,145.68,0.0,145.68
2003,Mcintosh,0.0,0.0,0.0,0.0,0.0
2004,Mcintosh,190800.0,0.0,38.35,0.0,38.35
2005,Mcintosh,168000.0,0.0,33.77,0.0,33.77
2006,Mcintosh,0.0,0.0,0.0,0.0,0.0
2007,Mcintosh,146480.0,0.0,29.44,0.0,29.44
2008,Mcintosh,148312.0,0.0,29.81,0.0,29.81
2009,Mcintosh,129544.0,0.0,26.04,0.0,26.04
2010,Mcintosh,130176.0,0.0,26.17,0.0,26.17
2011,Mcintosh,126461.888,0.0,25.42,0.0,25.42
2012,Mcintosh,135680.0,0.0,27.27,0.0,27.27
2013,Mcintosh,123760.0,0.0,24.88,0.0,24.88
2014,Mcintosh,115360.0,0.0,23.19,0.0,23.19
2015,Mcintosh,0.0,0.0,0.0,0.0,0.0
2016,Mcintosh,83216.0,0.0,16.73,0.0,16.73
2017,Mcintosh,82480.0,0.0,16.58,0.0,16.58
2018,Mcintosh,73440.0,0.0,14.76,0.0,14.76
2019,Mcintosh,87104.0,0.0,17.51,0.0,17.51
2020,Mcintosh,72320.0,0.0,14.54,0.0,14.54
2021,Mcintosh,73596.0,0.0,14.79,0.0,14.79
2022,Mcintosh,76272.0,0.0,15.33,0.0,15.33
2023,Mcintosh,76928.0,0.0,15.46,0.0,15.46
2024,Mcintosh,81344.0,0.0,16.35,0.0,16.35
2025,Mcintosh,91296.0,0.0,18.35,0.0,18.35
2003,Milbank #1,0.0,0.0,0.0,0.0,0.0
2004,Milbank #1,589200.0,0.0,118.43,0.0,118.43
2005,Milbank #1,577200.0,0.0,116.02,0.0,116.02
2006,Milbank #1,0.0,0.0,0.0,0.0,0.0
2007,Milbank #1,590160.0,0.0,118.62,0.0,118.62
2008,Milbank #1,527760.0,0.0,106.08,0.0,106.08
2009,Milbank #1,487920.0,0.0,98.07,0.0,98.07
2010,Milbank #1,458880.0,0.0,92.23,0.0,92.23
2011,Milbank #1,480000.0,0.0,96.48,0.0,96.48
2012,Milbank #1,462000.0,0.0,92.86,0.0,92.86
2013,Milbank #1,512160.0,0.0,102.94,0.0,102.94
2014,Milbank #1,483360.0,0.0,97.16,0.0,97.16
2015,Milbank #1,515760.0,0.0,103.67,0.0,103.67
2016,Milbank #1,436320.0,0.0,87.7,0.0,87.7
2017,Milbank #1,527280.0,0.0,105.98,0.0,105.98
2018,Milbank #1,547200.0,0.0,109.99,0.0,109.99
2019,Milbank #1,580800.0,0.0,116.74,0.0,116.74
2020,Milbank #1,429840.0,0.0,86.4,0.0,86.4
2021,Milbank #1,535500.0,0.0,107.64,0.0,107.64
